# id|form|meaning|use|contrast|valid alternatives and limits
en.c.001|subject + am/is/are + complement|identity, property or location|Introduce a person or describe a situation.|Lexical verbs such as agree do not take an extra be.|I'm/she's/they're in suitable spoken or informal contexts; retain full forms for emphasis.
en.c.002|I/you/he/she/it/we/they + finite predicate|speaker, listener or another referent as subject|Keep the person being discussed clear.|Subject she differs from object her.|A full noun phrase may replace a pronoun when its referent is clear.
en.c.003|a/an/the or zero article + noun phrase|indefinite, identifiable or generic reference|Introduce a referent and then refer back to it.|A singular count noun normally needs a determiner; generic plurals need not.|Choose a/an by the following sound; article omission depends on noun and context.
en.c.004|noun + plural ending or irregular plural|more than one countable entity|Describe quantities and groups.|Plural count nouns differ from mass nouns.|Irregular forms require lexical checking; some nouns have unchanged plurals.
en.c.005|my/your/his/her/its/our/their + noun|possession or association|Identify whose object or relationship is meant.|My book differs from the independent pronoun mine.|A possessive noun phrase can replace a possessive determiner when reference stays clear.
en.c.006|have/has got + object|present possession, relationship or condition|Describe what someone has.|Have got for possession differs from habitual have and perfect get.|Have/has without got often conveys the same possession; question/negative syntax must match.
en.c.007|subject + base verb or third-person -s|habit, general state or regular event|Describe routines and general facts.|A regular event differs from an event happening now.|Frequency adverbials can vary if they preserve the intended frequency.
en.c.008|subject + do/does not + base verb|negated present habit or general proposition|Say what someone does not normally do.|Does not work differs from does not works.|Don't/doesn't are normal contractions; full not forms allow emphasis.
en.c.009|do/does + subject + base verb|request for present factual information|Ask about habits or states.|Questions with be do not require do; subject questions need a separate rule.|A wh-word can precede the auxiliary when asking for that missing constituent.
en.c.010|there is/are + noun phrase|existence or presence of a referent|Introduce something in a place or situation.|Existential there differs from locative there.|There is can contract to there's; formal agreement follows the introduced noun phrase.
en.c.011|can/cannot + bare infinitive|ability, permission or possibility|Describe capability or ask permission.|Ability is not the same as permission or certainty.|Can't and cannot are negative variants; be able to is appropriate only for ability.
en.c.012|base verb; do not + base verb|directive addressed to the listener|Give instructions, advice or warnings.|An imperative differs from a statement about a habit.|Please and explicit subjects change politeness or emphasis and are context-dependent.
en.c.013|place preposition + noun phrase|spatial relationship|Locate objects and people.|In, on and at encode different spatial perspectives.|Alternative spatial descriptions are acceptable when they locate the same referent accurately.
en.c.014|count noun with number; mass noun with measure|bounded items versus unbounded substance|Choose quantities and reference forms.|A piece of advice differs from an advice.|Measure phrases permit counting mass nouns; lexical count/mass shifts need context.
en.c.015|am/is/are + -ing|ongoing or temporary event|Describe activity around the current time.|Temporary activity differs from a general habit.|Contracted be is acceptable; stative predicates need meaning-specific checking.
en.c.016|present simple versus present progressive|habit/state versus ongoing or temporary situation|Choose a viewpoint that fits the context.|I work here and I am working here need not imply the same permanence.|Either form may be grammatical with a changed meaning; do not accept it as an equivalent automatically.
en.c.017|regular verb + -ed; did + base form|event located in a past frame|Narrate completed past events.|Past morphology stays off the lexical verb after did.|Spelling variants follow lexical and regional conventions.
en.c.018|lexically specified past form|past event or state|Narrate events using irregular verbs.|Went differs from gone; did go differs from did went.|Accept attested regional variants only with a recorded usage policy.
en.c.019|did + subject + base; did not + base|past question or negative proposition|Ask about and deny past events.|Did not go differs from did not went.|Didn't is a negative contraction; be has its own inversion and negative pattern.
en.c.020|will + bare infinitive|prediction, willingness or immediate decision|Respond with an offer or prediction.|A prior plan does not automatically have the same meaning as willingness.|'ll contracts will; won't contracts will not; preserve the intended modal force.
