# id|form|meaning|use|contrast|valid alternatives and limits
de.c.001|Personalpronomen + finite Form von sein|Person, Identität oder Eigenschaft|Eine Person vorstellen oder beschreiben.|Nominativpronomen unterscheiden sich von Objektpronomen.|Ein eindeutiges Nomen kann das Pronomen ersetzen; sein muss zum Subjekt passen.
de.c.002|Subjekt + habe/hast/hat/haben/habt + Ergänzung|Besitz, Beziehung oder Zustand|Beschreiben, was jemand hat.|Haben als Vollverb unterscheidet sich vom Perfekt-Hilfsverb.|Besitzen ist nur bei passender Besitzbedeutung eine Alternative.
de.c.003|Verbstamm + passende Präsensendung|gegenwärtige, regelmäßige oder allgemeine Situation|Alltag und Gewohnheiten beschreiben.|Finite Form und Infinitiv haben unterschiedliche Satzfunktionen.|Präsens kann mit Zeitangabe auch Zukünftiges ausdrücken.
de.c.004|lexikalisch bestimmte Präsensform|gegenwärtige Handlung oder Zustand|Häufige Verben korrekt verwenden.|Stammwechsel betreffen nicht automatisch alle Personen.|Nur belegte Formen und vereinbarte regionale Varianten akzeptieren.
de.c.005|W-Ausdruck + finites Verb + weitere Satzglieder|Frage nach einer offenen Information|Person, Ort, Zeit oder Grund erfragen.|Subjektfragen können äußerlich einer Aussage ähneln.|Verschiedene W-Ausdrücke sind nur bei gleicher erfragter Rolle austauschbar.
de.c.006|finites Verb + Subjekt + weitere Satzglieder|Entscheidungsfrage|Eine Annahme überprüfen.|Verb-Erst-Fragen unterscheiden sich von W-Fragen.|Eine intonatorische Rückfrage ist möglich, braucht aber einen Gesprächskontext.
de.c.007|der/die/das oder ein/eine mit Nominalgruppe|identifizierbare oder neu eingeführte Referenz|Personen und Dinge einführen und wiederaufnehmen.|Genus, Numerus und Kasus sind getrennte Merkmale.|Nullartikel und andere Determinierer sind nur in passenden Kontexten zulässig.
de.c.008|lexikalische Pluralform mit gegebenenfalls Umlaut|Mehrzahl zählbarer Referenten|Mengen und Gruppen beschreiben.|Plural ist nicht ausnahmslos durch -s gebildet.|Belegte Pluralvarianten können unterschiedliche Bedeutungen haben.
de.c.009|Nominalgruppe oder Pronomen im Akkusativ|durch Verb oder Präposition bestimmte Rolle|Direkte Objekte und andere Akkusativergänzungen bilden.|Ein Objekt ist nicht wegen seiner Position automatisch Akkusativ.|Alternative Satzstellung ändert den vom Regens bestimmten Kasus nicht.
de.c.010|mein/dein/sein/ihr/unser/euer/Ihr + Nomen|Besitz oder Zugehörigkeit|Eine Beziehung zum Besitzer ausdrücken.|Der Stamm folgt dem Besitzer, die Endung der Nominalgruppe.|Ein Genitivattribut kann die Beziehung genauer ausdrücken.
de.c.011|nicht im passenden Skopus; kein als Determinierer|Verneinung einer Aussage oder nominalen Referenz|Etwas verneinen oder korrigieren.|Nicht ein kann kontrastiv sein und ist nicht immer gleich kein.|Die Position von nicht darf sich nur ändern, wenn der beabsichtigte Skopus erhalten bleibt.
de.c.012|können finit + Infinitiv|Fähigkeit, Möglichkeit oder Erlaubnis|Möglichkeiten und Fähigkeiten beschreiben.|Können und dürfen unterscheiden sich bei Erlaubnis.|In der Lage sein passt zur Fähigkeit, nicht zu jeder Möglichkeit.
de.c.013|finites Stammverb mit abgetrenntem Präfix; ungetrennt in Endstellung|lexikalische Bedeutung eines Präfixverbs|Alltägliche Handlungen ausdrücken.|Trennbare und untrennbare Präfixe folgen unterschiedlichen Mustern.|Infinitiv, Partizip und Nebensatzstellung behalten jeweils ihre eigene Bildung.
de.c.014|lokale Präposition + passende Ergänzung|räumliche Beziehung|Ort und Richtung beschreiben.|Ort und Ziel unterscheiden sich bei Wechselpräpositionen.|Eine andere räumliche Beschreibung ist möglich, wenn sie dieselbe Situation trifft.
de.c.015|haben finit + Partizip II|Vergangenheit im Perfekt|Erlebnisse und abgeschlossene Handlungen berichten.|Hilfsverbwahl hängt vom Verb und seiner Verwendung ab.|Präteritum kann dieselbe Zeitlage ausdrücken, unterscheidet sich aber oft im Register.
de.c.016|sein finit + Partizip II|Perfekt bestimmter Bewegungs-, Zustandswechsel- und weiterer Verben|Über Veränderungen und Wege berichten.|Nicht jedes Bewegungsverb verlangt in jeder Verwendung sein.|Regionale Hilfsverbvarianten brauchen eine dokumentierte Zielvarietät.
