# id|family|title|related existing construction IDs (partial, never task coverage)|form|meaning|use|contrast|valid alternatives and limits
en.c.113|G16|Generic and zero conditionals|en.c.034,en.c.035|if/when + generic clause and consequence|general dependency or recurring result|Explain a rule or regular consequence.|A generic relation differs from one predicted future event.|When may imply expected recurrence; preserve scope and modality.
en.c.114|G03|Demonstratives and reference distance|en.c.003,en.c.002|this/that/these/those as determiner or pronoun|deictic or discourse-linked reference|Identify a referent in shared context.|Number and distance are separate choices.|A noun phrase may clarify reference; changing this to that may change perspective.
en.c.115|G04|Indefinite pronouns and reference|en.c.024,en.c.075|-body/-one/-thing pronouns with appropriate agreement|unspecified person, thing or absence|Discuss an unknown or general referent.|Anyone and someone depend on polarity and intended scope.|-body and -one variants often overlap; agreement and reference must remain clear.
en.c.116|G04|Reciprocal pronouns|en.c.099|each other/one another|participants acting in reciprocal relation|Describe mutual actions.|They helped themselves differs from they helped each other.|Both reciprocal forms can be acceptable when the same mutual relation is intended.
en.c.117|G04|Independent possessive pronouns|en.c.005|mine/yours/his/hers/ours/theirs|possessive reference without a following noun|Avoid repeating a known noun.|My requires a following nominal head; mine does not.|A full possessive noun phrase can make the referent explicit.
en.c.118|G01|Agreement with complex subjects|en.c.001,en.c.007,en.c.067|finite verb agreeing with the subject head|number/person agreement despite intervening material|Write accurate long subjects.|The nearest noun is not necessarily the agreement controller.|Collective notional agreement needs a recorded variety and interpretation.
en.c.119|G12|Subject and object questions|en.c.009,en.c.027|who/what as subject versus fronted object with do-support|different unknown participant roles|Ask who acted and who was affected.|Who called differs structurally from who did you call.|Full noun phrases can clarify the role; do not reverse the participants.
en.c.120|G01|Dummy it and extraposition|en.c.010,en.c.072|it + predicate + postponed clause; weather/time it|syntactic subject without ordinary referential content|Describe weather or present a clausal evaluation.|Dummy it differs from referential it and existential there.|A clause may occupy subject position where licensed; informational emphasis changes.
en.c.121|G05|Attributive adjective order|en.c.067|ordered modifiers before a noun|layered description of one referent|Describe an object naturally.|Semantic modifier order differs from arbitrary word order.|Context can license marked order; do not enforce one universal adjective sequence.
en.c.122|G02|Genitive and of-construction choices|en.c.085,en.c.067|possessor 's versus of-phrase|possession and other nominal relationships|Choose a natural relationship expression.|A friend of mine differs from my only friend.|Animacy, weight, idiom and intended reference constrain alternatives.
en.c.123|G14|Mandative complement clauses|en.c.064,en.c.072|demand/recommend + that + base form or should-clause|desired or required proposition|Report a recommendation or requirement.|Mandative be differs from factual is.|Should-variants and indicative patterns vary by variety and verb; preserve the speech act.
en.c.124|G21|Inflectional spelling changes|en.c.017,en.c.022,en.c.015|doubling, final-e removal and y changes before suffixes|written representation of inflected forms|Spell grammatical inflections accurately.|Graphic correctness differs from pronouncing the same word.|Lexical exceptions and regional variants need a spelling reference; no spoken spelling credit.
de.c.145|G07|Futur II und vergangenheitsbezogene Vermutung|de.c.102,de.c.107|werden + Partizip II + haben/sein|Abschluss vor einem Bezugspunkt oder Vermutung über Vergangenes|Eine erwartete Fertigstellung oder Vermutung ausdrücken.|Zeitliche Zukunft und epistemische Vergangenheit sind unterschiedliche Lesarten.|Eine Perfektparaphrase mit vermutlich muss Zeitbezug und Sicherheit erhalten.
de.c.146|G08|Ersatzinfinitiv und Oberfeld|de.c.044,de.c.127|haben + Infinitivgruppe bei lizenzierten Modal-/Wahrnehmungsverben|Perfekt eines komplexen Verbgefüges|Komplexe Verbgruppen korrekt bilden.|Hat arbeiten müssen unterscheidet sich von einem gewöhnlichen Partizipperfekt.|Oberfeldstellung hängt vom Verbkomplex ab; keine universelle Verb-am-Ende-Schablone verwenden.
de.c.147|G05|Adjektivvalenz und Rektion|de.c.026,de.c.052|Adjektiv + Kasus-/Präpositional-/Satzergänzung|vom Adjektiv lizenzierte Beziehung|Zustände mit passenden Ergänzungen beschreiben.|Stolz auf und ähnlich plus Dativ haben verschiedene Muster.|Ein verwandtes Verb kann andere Ergänzungen verlangen.
de.c.148|G03|Demonstrative Determinierer und Pronomen|de.c.007,de.c.135|dieser/jener/der in attributiver oder pronominaler Verwendung|deiktische oder kontrastive Referenz|Einen bestimmten Referenten auswählen.|Artikelgebrauch und betonte Demonstrativverwendung unterscheiden sich.|Ein explizites Nomen kann Bezug klären; Perspektive und Kasus erhalten.
de.c.149|G02|Lexikalisches Genus und Kongruenz|de.c.007,de.c.060|Nomen mit lexikalischem Genus und kongruierenden Formen|grammatische Nominalklasse|Artikel und Bezüge zuverlässig wählen.|Grammatisches Genus folgt nicht immer dem natürlichen Geschlecht.|Wortbildungsregeln liefern Tendenzen; Ausnahmen bleiben lexikalisch zu erfassen.
de.c.150|G15|Genitivische Relativattribute|de.c.031,de.c.051|dessen/deren + Bezugsnomen im Relativsatz|Zugehörigkeitsrelation zum Antezedens|Eine Beziehung innerhalb eines Relativsatzes beschreiben.|Dessen/deren richtet sich nach dem Antezedens, nicht einfach dem folgenden Nomen.|Ein expliziter Genitiv oder ein neuer Satz kann den Bezug verdeutlichen.
de.c.151|G05|Vergleich mit als und wie|de.c.021,de.c.049|Komparativ + als; so + Adjektiv + wie|Ungleichheit oder Gleichheit|Personen, Dinge und Vorgänge vergleichen.|Als wie ist nicht die neutrale Standardvariante des einfachen Vergleichs.|Regionale Varianten kennzeichnen; Vergleichsrichtung und Standardziel erhalten.
de.c.152|G01|Korrelat-es und unpersönliche Muster|de.c.001,de.c.023,de.c.090|es als Platzhalter/Korrelat oder unpersönliches Subjekt|Satzstruktur ohne gewöhnlichen Personenreferenten|Wetter, Bewertungen und nachgestellte Inhalte ausdrücken.|Es gibt, Wetter-es und Korrelat-es sind nicht frei austauschbar.|Vorangestellte Inhaltssätze erlauben Korrelatänderungen nur bei passendem Prädikat.
de.c.153|G02|Nominale Wortbildung und Komposita|de.c.046,de.c.060|Derivation oder Zusammensetzung mit nominalem Kopf|neue nominale Begriffe und Beziehungen|Fachbegriffe verstehen und bilden.|Kompositum und freie Nominalgruppe haben unterschiedliche Struktur.|Fugenelemente und Genus brauchen lexikalische Prüfung; keine beliebige Wortverkettung.
de.c.154|G04|Reziproke Beziehungen|de.c.025,de.c.136|einander oder reflexive Form mit gegenseitiger Lesart|wechselseitige Teilnehmerrelation|Gegenseitige Handlungen ausdrücken.|Sie waschen sich kann reflexiv oder reziprok mehrdeutig sein.|Einander/gegenseitig kann die Lesart verdeutlichen; Präpositionalanschlüsse erhalten.
de.c.155|G04|Negative Indefinita und Kongruenz|de.c.028,de.c.137|niemand/nichts/keiner in passender Form|fehlender Referent oder verneinte Menge|Abwesenheit präzise ausdrücken.|Nicht alle und keiner haben verschiedene Reichweite.|Kasusvarianten sind kontextabhängig; doppelte Negation nicht pauschal gleichsetzen.
de.c.156|G21|Getrennt- und Zusammenschreibung|de.c.013,de.c.133|grafische Wortgrenzen gemäß aktueller Regel|geschriebene Unterscheidung lexikalischer und syntaktischer Einheiten|Verb- und andere Verbindungen korrekt schreiben.|Gesprochene Wortfolge beweist keine richtige grafische Trennung.|Regelzugelassene Varianten erfassen; reine Aufnahme kann diesen Zielbereich nicht belegen.
